0,Testdata
1,Men _ Prototype 1
2,Men _ Prototype 2
3,Men _ Prototype 3
4,Men _ Prototype 4
5,Men _ Prototype 5
6,Men _ Prototype 6
7,Men _ Prototype 7
8,Men _ Prototype 8
9,Men _ Prototype 9
10,Men _ Prototype 10
11,Men _ Prototype 11
12,Men _ Prototype 12
13,Men _ Prototype 13
14,Men _ Prototype 14
20,Women _ Prototype 1
21,Women _ Prototype 2
30,4th End Edition Warrior _ Man
31,4th End Edition Knight _ Man
32,4-End Edition Witch _ Woman
33,4th end version of a sorcerer _ Man
34,E3 Solar Knights _ Man
100,Default Face Test _01
101,Default Face Test _02
102,Default Face Test _03
103,Default Face Test _04
104,Default Face Test _05
105,Default Face Test _06
106,Default Face Test _07
107,Default Face Test _08
108,Default Face Test _09
109,Default Face Test _10
110,Default Face Test _11
111,Default Face Test _12
112,Default Face Test _13
113,Default Face Test _14
114,Default Face Test _15
115,Default Face Test _16
116,Default Face Test _17
117,Default Face Test _18
118,Default Face Test _19
119,Default Face Test _20
120,Default Face Test _21
121,Default Face Test _22
122,Default Face Test _23
123,Default Face Test _24
124,Default Face Test _25
125,Default Face Test _26
126,Default Face Test _27
127,Default Face Test _28
128,Default Face Test _29
129,Default Face Test _30
130,Default Face Test _31
131,Default Face Test _32
132,Default Face Test _33
133,Default Face Test _34
134,Default Face Test _35
135,Default Face Test _36
136,Default Face Test _37
137,Default Face Test _38
138,Default Face Test _39
139,Default Face Test _40
140,Default Face Test _41
141,Default Face Test _42
142,Default Face Test _43
143,Default Face Test _44
144,Default Face Test _45
145,Default Face Test _46
146,Default Face Test _47
147,Default Face Test _48
148,Default Face Test _49
149,Default Face Test _50
300,The Gray saint
1000,A plain face
1001,Farmer's face of five Fingers River
1002,Astra Noble face
1003,The student face of the Dragon Academy
1004,Sollond Saint Face
1005,The cheerful face of Catalina
1006,Karim's dismal face
1007,Xena timers
1008,Heterophase of Onuma
1009,The foreigner face of the east
2000,A plain face
2001,Farmer's face of five Fingers River
2002,Astra Noble face
2003,The student face of the Dragon Academy
2004,Sollond Saint Face
2005,The cheerful face of Catalina
2006,Karim's dismal face
2007,Xena timers
2008,Heterophase of Onuma
2009,The foreigner face of the east
6000,Knight of the Sun
6001,Knight of the Sun (Sun Worm ver.)
6002,Knight of the Sun (dead)
6010,Knight of the Dark Moon
6020,Knight OST
6021,Knight male Tiger (hostile)
6030,"Big Hat" Logarn
6031,"Big Hat" Logarn (dead)
6040,Logarn Disciple
6041,Logarn Disciple (dead)
6050,A ruined princess
6060,The Gray saint
6070,White Saint
6071,White Saint (Dead)
6080,Saint Knight A
6090,Saint Knight B
6091,Saint Knight B (dead)
6100,Saint Knight C
6101,Saint Knight C (dead)
6130,The Sorcerer of the Vase
6131,The Sorcerer of the Vase (dead)
6170,Wandering Chaos
6180,Healing Hands
6220,Blacksmith Heinrich Rickert
6250,A broken-hearted merchant
6260,Trickster
6270,Broken Heart Warrior
6271,Heart-Broken Warrior (dead)
6280,Onion Knight
6290,Onion Knight's Daughter
6300,Knight Lek held
6310,Bandits
6320,Graveyard Cowards Patch
6370,Dragon Priest
6390,Black Knights
6400,Belka Knight
6410,Witch Malose
6420,Ninja
6490,One companion of the funnel
6500,The companion of the Funnel 2
6530,Swamp Woman (NPC Multi)
6550,Temple Knight (NPC Multi)
6560,Thorn Knight (NPC Multi)
6570,Yellow Robe (NPC Multi)
6580,NPC (Havel)
6600,Ojo 1 NPC (Ricard)
6610,Crystal Knight
6801,Bandit a Gatekeeper
6802,Bandit B Warrior
6803,Bandit C Archer
6804,Bandit D Magic (Attack)
6805,Bandit e Magic (recovery)
6806,Bandit F Covert
9999,Phantom (no Face)
